Voltage.EMG01_r_gastro,Voltage.EMG02_r_soleus,Voltage.EMG03_r_rect_fem,Voltage.EMG04_r_tfl,Voltage.EMG05_r_semimemb,Voltage.EMG06_l_gastro,Voltage.EMG07_l_soleus,Voltage.EMG08_l_rect_fem,Voltage.EMG09_l_tfl,Voltage.EMG10_l_semimemb,
0.051310424,0.124871522,0.048105467,0.017821349,0.035510253,0.012932129,0.032059021,-0.001021423,0.022988891,0.034568787,
0.028880006,0.115716249,0.032083739,0.01202301,0.040393066,0.02300293,0.032974549,0.031479798,0.023599243,0.033500671,
0.038035277,0.080773622,0.036966551,0.025450744,0.034442138,0.033073731,0.028854676,0.017899476,0.031686403,0.029685974,
0.059702758,0.032250673,0.038797606,0.009429016,0.02925415,0.009117432,0.04228241,0.035294496,0.035958864,0.042198181,
0.029337769,0.007226257,0.032541502,0.014006653,0.036120605,0.029259034,0.036941834,0.038498841,0.033975221,0.041435242,
-0.015065308,0.00997284,0.026285401,-0.0017099,0.022387695,0.035972901,0.022293396,0.039872132,0.039010622,0.044487,
-0.018880004,0.014550476,0.024454346,-0.006134949,0.04588623,0.040703125,0.012375183,0.070542298,0.035653688,0.037620544,
0.002024536,-0.0248172,0.038187254,-0.005219421,0.030474853,0.050773926,0.015121765,0.02919098,0.02817688,0.037773132,
0.002024536,-0.05075714,0.032999266,-0.004761658,0.027880859,0.030632325,0.052658387,0.027817689,0.022073364,0.038841248,
0.005686645,-0.071814269,0.033762205,0.015227356,0.035968017,0.049095459,0.037094422,0.029648744,0.033059694,0.03289032,
0.047495726,-0.022070618,0.03269409,-0.006440124,0.030627441,0.035820313,0.046402283,0.030564271,0.029092407,0.050743103,
0.03208435,0.001885681,0.038645018,0.013701477,0.020251464,0.021477051,0.046554871,0.031022035,0.036874391,0.019309998,
0.060618285,0.012719422,0.03269409,0.019499816,0.030627441,0.020256348,0.053726502,0.020188294,0.031381227,0.04158783,
0.051463012,0.010125428,-0.016439209,0.021025695,0.033221435,-0.011939697,0.056625672,0.034073792,0.01581726,0.027549744,
0.030558472,0.034539491,-0.024373779,0.031249084,0.033526611,0.029106446,0.068680115,0.032242738,0.037484743,0.015037537,
0.038035277,0.060326844,0.035745848,0.034606017,0.036730956,0.027427979,0.061508484,0.011490784,0.0216156,0.00756073,
0.048869018,0.11922577,0.028726807,0.023314513,0.033984374,0.039177246,0.049301453,0.017289124,0.006814575,0.011680603,
0.05375183,0.142571718,0.021402588,0.044371642,0.033679198,0.031090088,0.04731781,0.018204652,0.027566528,-0.009223938,
0.068247683,0.14165619,0.043985594,0.040404357,0.012927246,0.022850342,0.039230652,0.021866761,0.02237854,0.008781433,
0.079081424,0.125176698,0.033914793,0.043150939,0.044512939,0.035820313,0.038925476,0.020798646,0.029550171,-0.002052307,
0.060160521,0.151116639,0.025675049,0.031706847,0.004840088,0.026817627,0.025039978,0.029038392,0.033670045,0.002067566,
0.008585815,0.127160341,0.02781128,0.010039368,0.031085204,0.035667725,0.018783875,0.023697816,0.028939819,0.006950378,
-0.005147095,0.126244813,0.021555176,0.036131896,0.024066161,0.042839356,0.034958191,0.026444398,0.022073364,0.011528015,
0.009959106,0.120293885,0.036508787,0.027129211,0.03718872,0.039787598,0.043197937,0.02842804,0.030923462,-0.004188538,
0.055582885,0.119836122,0.023233643,0.03872589,0.070605472,0.057792969,0.034805603,0.019883119,0.032144167,0.018699646,
0.071604617,0.162560731,0.033609618,0.033385314,0.031085204,0.04543335,0.013443299,0.029343568,0.02741394,0.04158783,
0.03422058,0.182702333,0.02781128,0.026061095,0.018115234,0.021782227,0.023361512,0.048111878,0.03626404,0.038230896,
0.010722046,0.132500917,0.037271727,0.037657775,0.021624755,0.025291748,0.030227967,0.051926576,0.030160522,0.039604187,
-0.062977903,0.018517761,0.011026612,0.02499298,0.002551269,0.016746826,0.034042664,0.05085846,0.031686403,0.052574158,
-0.018574828,-0.053351134,0.01545166,0.033385314,0.047869872,0.021019287,0.021835633,0.04002472,0.034280397,0.02129364,
-0.019490356,-0.107062072,0.047952879,0.032317199,0.033831786,-0.000343018,0.02778656,0.041245423,0.042672731,0.063407898,
-0.025288695,-0.181524962,0.033609618,0.043456115,0.035968017,0.041008301,0.028702088,0.028122865,0.034127809,0.076530457,
-0.011403198,-0.191900939,0.036508787,0.041167296,0.037799072,0.041008301,0.020920105,0.051468812,0.024362182,0.050590515,
0.019419556,-0.192969054,0.018961182,0.032469787,0.027270507,0.031853028,0.024734803,0.039566956,0.022988891,0.080497742,
0.048411254,-0.175268859,0.037576903,0.051848449,0.028948974,0.031547852,0.001694031,0.032853089,0.036111452,0.073173523,
0.004771118,-0.14765045,0.029642334,0.040862121,0.019641113,0.034752198,0.038315125,0.045517884,0.040231325,0.067832947,
0.001871948,-0.086615294,0.040933836,0.040251769,0.028033447,0.047264405,0.035263367,0.031937562,0.022988891,0.058525085,
0.004008179,-0.030310364,0.015604248,0.023009337,0.030169677,0.071983643,0.03724701,0.02415558,0.051675417,0.0545578,
0.018198853,-0.052130431,0.032999266,0.028655089,0.03718872,0.037041016,0.034500428,0.048111878,0.0355011,0.047538757,
0.047190551,-0.055639952,0.038339842,0.024687804,0.032763671,0.043907471,0.029007263,0.024765931,0.022531128,0.039909363,
0.050089721,-0.045263976,0.026895752,0.031554259,0.03428955,0.04039795,0.020157166,0.029038392,0.042977907,0.023124695,
0.036814574,-0.031378478,0.04062866,0.02209381,0.006060791,0.015678711,0.022140808,0.039719544,0.039620973,0.037467957,
0.033762816,-0.06449005,0.02414917,0.023009337,0.025744628,0.01216919,0.019241638,0.033005677,0.034127809,0.046318054,
0.025980836,0.024621276,0.028726807,0.030180968,0.024218749,0.021629639,0.050522156,0.038956605,0.04343567,0.037315369,
0.011790161,0.03240326,0.023996582,0.033232726,0.025744628,0.029259034,0.045334168,0.031174622,0.028024292,0.019767761,
-0.002095337,-0.010016174,0.026132813,0.039794005,0.048327636,0.046806641,0.04808075,0.055741273,0.03031311,0.014732361,
0.031016236,-0.022833558,0.032541502,0.032774962,0.027270507,0.019645996,0.048691101,0.030106507,0.003762817,0.011222839,
0.018809205,-0.034887999,0.038950194,0.035674132,0.033374023,0.032921143,0.047775574,0.036667787,0.031228637,0.021751404,
0.030100709,-0.022070618,0.034830321,0.03369049,0.027728271,0.026665039,0.041366883,0.034073792,0.031533815,0.019004822,
0.028422242,-0.005133362,0.039713133,0.034453429,0.021014404,0.029564209,0.038620301,0.026596986,0.032754518,0.031974792,
0.044596557,-0.008032531,0.016519776,0.024840392,0.021014404,0.036583252,0.038620301,0.020340882,0.051980592,0.036705017,
0.051920775,-0.000860901,0.02491211,0.031096496,0.024066161,0.059471436,0.043350525,0.035904847,0.032144167,0.033348083,
0.033305053,0.01714447,0.035135496,0.028349914,0.031848144,0.045280762,0.043503113,0.040177308,0.007577515,0.008171082,
0.041239623,0.046136171,0.041849364,0.025603332,0.028338622,0.035820313,0.037704773,0.031479798,0.042214967,0.015342712,
0.026438599,0.067956239,0.0363562,0.039183654,0.032305907,-0.015144043,0.039535828,0.026139222,0.053506471,0.015190125,
-0.00621521,0.052239686,0.027658692,0.049254455,0.023150634,0.028953858,0.061355896,0.018509828,0.024667358,0.011833191,
0.026743775,0.05193451,0.030100098,0.005766907,0.021624755,0.030632325,0.060745545,0.014084778,0.039773561,0.03792572,
0.053904418,0.051324159,0.025675049,0.053832091,0.022845458,0.024833985,0.03648407,0.032700501,0.029550171,0.025108337,
0.033457641,0.039422303,0.020792237,0.01995758,0.018420409,0.019188233,0.042129822,0.041703187,0.044046022,0.022666931,
0.033762816,0.023400573,0.030252686,0.045134582,0.035510253,0.013542481,0.036026306,0.02842804,0.037637331,0.029075623,
0.020335084,0.052087098,0.046274412,0.050475158,0.022845458,0.035057373,0.03648407,0.036667787,0.038858034,0.019920349,
0.038340453,0.068871766,0.039407957,0.031554259,0.033831786,0.018577881,0.039078064,0.031937562,0.029092407,0.020530701,
0.023081666,0.031487733,0.031473387,0.033232726,0.032000732,0.028496094,0.033127137,0.014084778,0.046487428,0.028465271,
0.023081666,0.045068055,0.032388914,0.001341858,0.027423095,0.030174561,0.03068573,0.014847717,0.025735473,0.020530701,
0.047495726,0.063378602,0.027658692,-0.006897888,0.021319579,0.041466065,0.057541199,0.039719544,0.027261352,0.0495224,
0.044443969,0.055138856,0.02414917,0.008513489,0.027117919,0.046348877,0.039078064,0.057114564,0.033975221,0.025413513,
0.037730101,0.069176942,0.023538819,0.027434386,0.025286864,0.039177246,0.040603943,0.030869447,0.03840027,0.034263611,
0.026438599,0.066735536,0.030405274,0.057036437,0.042376708,0.030479737,0.081802674,0.024765931,0.026498413,0.064781189,
0.025523072,0.065209657,0.035745848,0.04452423,0.035205077,-0.00019043,0.033737488,0.025223695,0.027719116,0.04372406,
0.024607545,0.075585634,0.038645018,0.034300841,0.023760986,0.029716797,0.032974549,0.014389954,0.031686403,0.011375427,
0.039408568,0.067345887,0.042307127,0.009276428,0.039935302,0.015831299,0.027328797,0.024308167,0.034585573,0.011680603,
